bowler,batting_team,runs_conceded,wickets,balls,overs,economy,average,strike_rate
A Ashish Reddy,Chennai Super Kings,50,2,30,5.0,10.0,25.0,15.0
A Ashish Reddy,Delhi Capitals,44,1,25,4.166666666666667,10.559999999999999,44.0,25.0
A Ashish Reddy,Kolkata Knight Riders,29,2,24,4.0,7.25,14.5,12.0
A Ashish Reddy,Mumbai Indians,11,1,14,2.3333333333333335,4.714285714285714,11.0,14.0
A Ashish Reddy,Other,85,4,55,9.166666666666666,9.272727272727273,21.25,13.75
A Ashish Reddy,Punjab Kings,39,2,25,4.166666666666667,9.36,19.5,12.5
A Ashish Reddy,Rajasthan Royals,22,0,18,3.0,7.333333333333333,22.0,18.0
A Ashish Reddy,Royal Challengers Bengaluru,116,6,79,13.166666666666666,8.810126582278482,19.333333333333332,13.166666666666666
A Badoni,Gujarat Titans,4,2,6,1.0,4.0,2.0,3.0
A Badoni,Mumbai Indians,6,1,6,1.0,6.0,6.0,6.0
A Badoni,Punjab Kings,0,0,1,0.16666666666666666,0.0,0.0,1.0
A Badoni,Rajasthan Royals,11,1,12,2.0,5.5,11.0,12.0
A Badoni,Royal Challengers Bengaluru,9,0,4,0.6666666666666666,13.5,9.0,4.0
A Badoni,Sunrisers Hyderabad,19,0,6,1.0,19.0,19.0,6.0
A Chandila,Chennai Super Kings,16,1,18,3.0,5.333333333333333,16.0,18.0
A Chandila,Mumbai Indians,30,2,24,4.0,7.5,15.0,12.0
A Chandila,Other,36,4,36,6.0,6.0,9.0,9.0
A Chandila,Punjab Kings,38,1,42,7.0,5.428571428571429,38.0,42.0
A Chandila,Royal Challengers Bengaluru,89,0,72,12.0,7.416666666666667,89.0,72.0
A Chandila,Sunrisers Hyderabad,33,3,42,7.0,4.714285714285714,11.0,14.0
A Choudhary,Kolkata Knight Riders,19,1,17,2.8333333333333335,6.705882352941176,19.0,17.0
A Choudhary,Mumbai Indians,32,1,25,4.166666666666667,7.68,32.0,25.0
A Choudhary,Other,21,0,14,2.3333333333333335,9.0,21.0,14.0
