match_id,season,date,team1,team2,winner,venue
335982,2008,2008-04-18,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,M Chinnaswamy Stadium
335983,2008,2008-04-19,Chennai Super Kings,Punjab Kings,Chennai Super Kings,PCA IS Bindra Stadium
335984,2008,2008-04-19,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Arun Jaitley Stadium
335985,2008,2008-04-20,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Wankhede Stadium
335986,2008,2008-04-20,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens
335987,2008,2008-04-21,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium
335988,2008,2008-04-22,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Rajiv Gandhi International Stadium
335989,2008,2008-04-23,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,MA Chidambaram Stadium
335990,2008,2008-04-24,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Rajiv Gandhi International Stadium
335991,2008,2008-04-25,Punjab Kings,Mumbai Indians,Punjab Kings,PCA IS Bindra Stadium
335992,2008,2008-04-26,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,M Chinnaswamy Stadium
335993,2008,2008-04-26,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,MA Chidambaram Stadium
335994,2008,2008-04-27,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Dr DY Patil Sports Academy
335995,2008,2008-04-27,Delhi Capitals,Punjab Kings,Punjab Kings,PCA IS Bindra Stadium
335996,2008,2008-04-28,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,M Chinnaswamy Stadium
335997,2008,2008-04-29,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Eden Gardens
335998,2008,2008-04-30,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,Arun Jaitley Stadium
335999,2008,2008-05-01,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Rajiv Gandhi International Stadium
336000,2008,2008-05-01,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Sawai Mansingh Stadium
336001,2008,2008-05-02,Chennai Super Kings,Delhi Capitals,Delhi Capitals,MA Chidambaram Stadium
336002,2008,2008-05-25,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium
336003,2008,2008-05-03,Punjab Kings,Kolkata Knight Riders,Punjab Kings,PCA IS Bindra Stadium
336004,2008,2008-05-04,Mumbai Indians,Delhi Capitals,Mumbai Indians,Dr DY Patil Sports Academy
336005,2008,2008-05-04,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium
336006,2008,2008-05-05,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,M Chinnaswamy Stadium
336007,2008,2008-05-06,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,MA Chidambaram Stadium
336008,2008,2008-05-07,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Dr DY Patil Sports Academy
336009,2008,2008-05-08,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Arun Jaitley Stadium
336010,2008,2008-05-08,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,Eden Gardens
336011,2008,2008-05-09,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium
336012,2008,2008-05-28,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,M Chinnaswamy Stadium
336013,2008,2008-05-10,Chennai Super Kings,Punjab Kings,Chennai Super Kings,MA Chidambaram Stadium
336014,2008,2008-05-11,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi International Stadium
336015,2008,2008-05-11,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium
336016,2008,2008-05-12,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,PCA IS Bindra Stadium
336017,2008,2008-05-13,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Eden Gardens
336018,2008,2008-05-14,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Wankhede Stadium
336019,2008,2008-05-28,Punjab Kings,Rajasthan Royals,Punjab Kings,PCA IS Bindra Stadium
336020,2008,2008-05-15,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Arun Jaitley Stadium
336021,2008,2008-05-16,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Wankhede Stadium
336022,2008,2008-05-17,Delhi Capitals,Punjab Kings,Punjab Kings,Arun Jaitley Stadium
336023,2008,2008-05-17,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Sawai Mansingh Stadium
336024,2008,2008-05-18,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium
336025,2008,2008-05-18,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Eden Gardens
336026,2008,2008-05-19,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,M Chinnaswamy Stadium
336027,2008,2008-05-20,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Eden Gardens
336028,2008,2008-05-21,Punjab Kings,Mumbai Indians,Punjab Kings,Wankhede Stadium
336029,2008,2008-05-21,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,MA Chidambaram Stadium
336031,2008,2008-05-23,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,PCA IS Bindra Stadium
336032,2008,2008-05-24,Mumbai Indians,Delhi Capitals,Delhi Capitals,Arun Jaitley Stadium
336033,2008,2008-05-24,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,MA Chidambaram Stadium
336034,2008,2008-05-03,Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,M Chinnaswamy Stadium
336035,2008,2008-05-25,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Eden Gardens
336036,2008,2008-05-26,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Sawai Mansingh Stadium
336037,2008,2008-05-27,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Rajiv Gandhi International Stadium
336038,2008,2008-05-30,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Wankhede Stadium
