player,player_team,opponent_team,runs_batter,balls_faced,strike_rate,role,runs_bowler,bowler_wicket,ball_no,overs,economy
A Ashish Reddy,Sunrisers Hyderabad,Chennai Super Kings,45.0,25.0,180.0,batter,,,,,
A Ashish Reddy,Sunrisers Hyderabad,Delhi Capitals,36.0,23.0,156.52173913043478,batter,,,,,
A Ashish Reddy,Sunrisers Hyderabad,Kolkata Knight Riders,17.0,13.0,130.76923076923077,batter,,,,,
A Ashish Reddy,Sunrisers Hyderabad,Mumbai Indians,27.0,25.0,108.0,batter,,,,,
A Ashish Reddy,Sunrisers Hyderabad,Other,26.0,19.0,136.8421052631579,batter,,,,,
A Ashish Reddy,Sunrisers Hyderabad,Punjab Kings,37.0,23.0,160.8695652173913,batter,,,,,
A Ashish Reddy,Sunrisers Hyderabad,Rajasthan Royals,37.0,24.0,154.16666666666669,batter,,,,,
A Ashish Reddy,Sunrisers Hyderabad,Royal Challengers Bengaluru,55.0,41.0,134.14634146341464,batter,,,,,
A Badoni,Lucknow Super Giants,Chennai Super Kings,123.0,77.0,159.74025974025975,batter,,,,,
A Badoni,Lucknow Super Giants,Delhi Capitals,129.0,83.0,155.42168674698794,batter,,,,,
A Badoni,Lucknow Super Giants,Gujarat Titans,148.0,111.0,133.33333333333331,batter,,,,,
A Badoni,Lucknow Super Giants,Kolkata Knight Riders,138.0,112.0,123.21428571428572,batter,,,,,
A Badoni,Lucknow Super Giants,Mumbai Indians,108.0,75.0,144.0,batter,,,,,
A Badoni,Lucknow Super Giants,Punjab Kings,175.0,117.0,149.57264957264957,batter,,,,,
A Badoni,Lucknow Super Giants,Rajasthan Royals,75.0,64.0,117.1875,batter,,,,,
A Badoni,Lucknow Super Giants,Royal Challengers Bengaluru,85.0,75.0,113.33333333333333,batter,,,,,
A Badoni,Lucknow Super Giants,Sunrisers Hyderabad,95.0,62.0,153.2258064516129,batter,,,,,
A Chandila,Rajasthan Royals,Royal Challengers Bengaluru,4.0,6.0,66.66666666666666,batter,,,,,
A Chandila,Rajasthan Royals,Sunrisers Hyderabad,0.0,1.0,0.0,batter,,,,,
A Chopra,Kolkata Knight Riders,Delhi Capitals,13.0,17.0,76.47058823529412,batter,,,,,
A Chopra,Kolkata Knight Riders,Mumbai Indians,1.0,4.0,25.0,batter,,,,,
A Chopra,Kolkata Knight Riders,Punjab Kings,2.0,3.0,66.66666666666666,batter,,,,,
A Chopra,Kolkata Knight Riders,Royal Challengers Bengaluru,2.0,5.0,40.0,batter,,,,,
A Chopra,Kolkata Knight Riders,Sunrisers Hyderabad,35.0,42.0,83.33333333333334,batter,,,,,
A Choudhary,Royal Challengers Bengaluru,Other,15.0,12.0,125.0,batter,,,,,
A Choudhary,Royal Challengers Bengaluru,Punjab Kings,4.0,6.0,66.66666666666666,batter,,,,,
A Choudhary,Royal Challengers Bengaluru,Sunrisers Hyderabad,6.0,2.0,300.0,batter,,,,,
A Dananjaya,Mumbai Indians,Delhi Capitals,4.0,5.0,80.0,batter,,,,,
A Flintoff,Chennai Super Kings,Delhi Capitals,16.0,17.0,94.11764705882352,batter,,,,,
A Flintoff,Chennai Super Kings,Mumbai Indians,24.0,23.0,104.34782608695652,batter,,,,,
A Flintoff,Chennai Super Kings,Royal Challengers Bengaluru,22.0,13.0,169.23076923076923,batter,,,,,
A Kamboj,Chennai Super Kings,Kolkata Knight Riders,7.0,4.0,175.0,batter,,,,,
A Kamboj,Chennai Super Kings,Punjab Kings,0.0,1.0,0.0,batter,,,,,
A Kamboj,Chennai Super Kings,Rajasthan Royals,12.0,13.0,92.3076923076923,batter,,,,,
A Kamboj,Chennai Super Kings,Royal Challengers Bengaluru,19.0,12.0,158.33333333333331,batter,,,,,
A Kamboj,Chennai Super Kings,Sunrisers Hyderabad,2.0,4.0,50.0,batter,,,,,
A Kamboj,Mumbai Indians,Kolkata Knight Riders,2.0,2.0,100.0,batter,,,,,
A Kumble,Royal Challengers Bengaluru,Chennai Super Kings,3.0,6.0,50.0,batter,,,,,
A Kumble,Royal Challengers Bengaluru,Delhi Capitals,2.0,2.0,100.0,batter,,,,,
A Kumble,Royal Challengers Bengaluru,Mumbai Indians,9.0,11.0,81.81818181818183,batter,,,,,
A Kumble,Royal Challengers Bengaluru,Punjab Kings,9.0,14.0,64.28571428571429,batter,,,,,
A Kumble,Royal Challengers Bengaluru,Rajasthan Royals,8.0,8.0,100.0,batter,,,,,
A Kumble,Royal Challengers Bengaluru,Sunrisers Hyderabad,4.0,6.0,66.66666666666666,batter,,,,,
A Manohar,Gujarat Titans,Chennai Super Kings,12.0,12.0,100.0,batter,,,,,
A Manohar,Gujarat Titans,Delhi Capitals,35.0,49.0,71.42857142857143,batter,,,,,
A Manohar,Gujarat Titans,Kolkata Knight Riders,16.0,12.0,133.33333333333331,batter,,,,,
A Manohar,Gujarat Titans,Lucknow Super Giants,18.0,12.0,150.0,batter,,,,,
A Manohar,Gujarat Titans,Mumbai Indians,44.0,24.0,183.33333333333331,batter,,,,,
A Manohar,Gujarat Titans,Rajasthan Royals,71.0,43.0,165.11627906976744,batter,,,,,
A Manohar,Gujarat Titans,Sunrisers Hyderabad,35.0,22.0,159.0909090909091,batter,,,,,
A Manohar,Sunrisers Hyderabad,Delhi Capitals,4.0,6.0,66.66666666666666,batter,,,,,
A Manohar,Sunrisers Hyderabad,Lucknow Super Giants,2.0,6.0,33.33333333333333,batter,,,,,
A Manohar,Sunrisers Hyderabad,Mumbai Indians,43.0,37.0,116.21621621621621,batter,,,,,
A Manohar,Sunrisers Hyderabad,Rajasthan Royals,0.0,1.0,0.0,batter,,,,,
A Manohar,Sunrisers Hyderabad,Royal Challengers Bengaluru,12.0,11.0,109.09090909090908,batter,,,,,
A Mhatre,Chennai Super Kings,Delhi Capitals,59.0,36.0,163.88888888888889,batter,,,,,
A Mhatre,Chennai Super Kings,Gujarat Titans,34.0,17.0,200.0,batter,,,,,
A Mhatre,Chennai Super Kings,Kolkata Knight Riders,38.0,19.0,200.0,batter,,,,,
A Mhatre,Chennai Super Kings,Mumbai Indians,32.0,15.0,213.33333333333334,batter,,,,,
A Mhatre,Chennai Super Kings,Punjab Kings,80.0,49.0,163.26530612244898,batter,,,,,
A Mhatre,Chennai Super Kings,Rajasthan Royals,43.0,21.0,204.76190476190476,batter,,,,,
A Mhatre,Chennai Super Kings,Royal Challengers Bengaluru,95.0,51.0,186.27450980392157,batter,,,,,
A Mhatre,Chennai Super Kings,Sunrisers Hyderabad,30.0,19.0,157.89473684210526,batter,,,,,
A Mishra,Delhi Capitals,Chennai Super Kings,35.0,29.0,120.6896551724138,batter,,,,,
A Mishra,Delhi Capitals,Kolkata Knight Riders,39.0,48.0,81.25,batter,,,,,
A Mishra,Delhi Capitals,Mumbai Indians,44.0,53.0,83.01886792452831,batter,,,,,
A Mishra,Delhi Capitals,Other,8.0,2.0,400.0,batter,,,,,
A Mishra,Delhi Capitals,Punjab Kings,15.0,21.0,71.42857142857143,batter,,,,,
A Mishra,Delhi Capitals,Rajasthan Royals,7.0,17.0,41.17647058823529,batter,,,,,
A Mishra,Delhi Capitals,Rising Pune Supergiants,13.0,9.0,144.44444444444443,batter,,,,,
A Mishra,Delhi Capitals,Royal Challengers Bengaluru,17.0,22.0,77.27272727272727,batter,,,,,
A Mishra,Delhi Capitals,Sunrisers Hyderabad,7.0,16.0,43.75,batter,,,,,
A Mishra,Lucknow Super Giants,Royal Challengers Bengaluru,19.0,30.0,63.33333333333333,batter,,,,,
A Mishra,Sunrisers Hyderabad,Chennai Super Kings,23.0,34.0,67.64705882352942,batter,,,,,
A Mishra,Sunrisers Hyderabad,Delhi Capitals,22.0,20.0,110.00000000000001,batter,,,,,
A Mishra,Sunrisers Hyderabad,Kolkata Knight Riders,23.0,16.0,143.75,batter,,,,,
A Mishra,Sunrisers Hyderabad,Mumbai Indians,44.0,33.0,133.33333333333331,batter,,,,,
A Mishra,Sunrisers Hyderabad,Other,30.0,26.0,115.38461538461537,batter,,,,,
A Mishra,Sunrisers Hyderabad,Punjab Kings,12.0,11.0,109.09090909090908,batter,,,,,
A Mishra,Sunrisers Hyderabad,Rajasthan Royals,23.0,32.0,71.875,batter,,,,,
A Mithun,Royal Challengers Bengaluru,Chennai Super Kings,11.0,8.0,137.5,batter,,,,,
A Mithun,Royal Challengers Bengaluru,Delhi Capitals,5.0,6.0,83.33333333333334,batter,,,,,
A Mithun,Royal Challengers Bengaluru,Kolkata Knight Riders,2.0,2.0,100.0,batter,,,,,
A Mithun,Royal Challengers Bengaluru,Punjab Kings,16.0,10.0,160.0,batter,,,,,
A Mukund,Chennai Super Kings,Rajasthan Royals,0.0,1.0,0.0,batter,,,,,
A Mukund,Royal Challengers Bengaluru,Rajasthan Royals,19.0,21.0,90.47619047619048,batter,,,,,
A Nehra,Chennai Super Kings,Kolkata Knight Riders,1.0,4.0,25.0,batter,,,,,
A Nehra,Chennai Super Kings,Mumbai Indians,0.0,1.0,0.0,batter,,,,,
A Nehra,Chennai Super Kings,Royal Challengers Bengaluru,0.0,2.0,0.0,batter,,,,,
A Nehra,Delhi Capitals,Chennai Super Kings,0.0,1.0,0.0,batter,,,,,
A Nehra,Delhi Capitals,Kolkata Knight Riders,0.0,1.0,0.0,batter,,,,,
A Nehra,Delhi Capitals,Mumbai Indians,1.0,5.0,20.0,batter,,,,,
A Nehra,Delhi Capitals,Punjab Kings,2.0,5.0,40.0,batter,,,,,
A Nehra,Delhi Capitals,Sunrisers Hyderabad,22.0,17.0,129.41176470588235,batter,,,,,
A Nehra,Mumbai Indians,Chennai Super Kings,1.0,2.0,50.0,batter,,,,,
A Nehra,Mumbai Indians,Punjab Kings,2.0,11.0,18.181818181818183,batter,,,,,
A Nehra,Other,Punjab Kings,2.0,4.0,50.0,batter,,,,,
A Nehra,Other,Rajasthan Royals,9.0,8.0,112.5,batter,,,,,
A Nehra,Sunrisers Hyderabad,Delhi Capitals,1.0,1.0,100.0,batter,,,,,
A Nortje,Delhi Capitals,Chennai Super Kings,1.0,7.0,14.285714285714285,batter,,,,,
A Nortje,Delhi Capitals,Gujarat Titans,7.0,8.0,87.5,batter,,,,,
A Nortje,Delhi Capitals,Kolkata Knight Riders,4.0,6.0,66.66666666666666,batter,,,,,
A Nortje,Delhi Capitals,Mumbai Indians,5.0,3.0,166.66666666666669,batter,,,,,
A Nortje,Delhi Capitals,Punjab Kings,3.0,1.0,300.0,batter,,,,,
A Nortje,Delhi Capitals,Rajasthan Royals,0.0,1.0,0.0,batter,,,,,
A Nortje,Delhi Capitals,Royal Challengers Bengaluru,23.0,14.0,164.28571428571428,batter,,,,,
A Nortje,Delhi Capitals,Sunrisers Hyderabad,6.0,9.0,66.66666666666666,batter,,,,,
A Nortje,Lucknow Super Giants,Delhi Capitals,0.0,1.0,0.0,batter,,,,,
A Raghuvanshi,Kolkata Knight Riders,Chennai Super Kings,52.0,39.0,133.33333333333331,batter,,,,,
A Raghuvanshi,Kolkata Knight Riders,Delhi Capitals,98.0,59.0,166.10169491525423,batter,,,,,
A Raghuvanshi,Kolkata Knight Riders,Gujarat Titans,27.0,13.0,207.6923076923077,batter,,,,,
A Raghuvanshi,Kolkata Knight Riders,Lucknow Super Giants,89.0,69.0,128.9855072463768,batter,,,,,
A Raghuvanshi,Kolkata Knight Riders,Mumbai Indians,90.0,51.0,176.47058823529412,batter,,,,,
A Raghuvanshi,Kolkata Knight Riders,Punjab Kings,44.0,35.0,125.71428571428571,batter,,,,,
A Raghuvanshi,Kolkata Knight Riders,Rajasthan Royals,96.0,66.0,145.45454545454547,batter,,,,,
A Raghuvanshi,Kolkata Knight Riders,Royal Challengers Bengaluru,33.0,26.0,126.92307692307692,batter,,,,,
A Raghuvanshi,Kolkata Knight Riders,Sunrisers Hyderabad,116.0,79.0,146.8354430379747,batter,,,,,
A Singh,Rajasthan Royals,Chennai Super Kings,1.0,2.0,50.0,batter,,,,,
A Singh,Rajasthan Royals,Delhi Capitals,0.0,1.0,0.0,batter,,,,,
A Singh,Rajasthan Royals,Kolkata Knight Riders,1.0,4.0,25.0,batter,,,,,
A Singh,Rajasthan Royals,Mumbai Indians,0.0,3.0,0.0,batter,,,,,
A Symonds,Mumbai Indians,Chennai Super Kings,31.0,26.0,119.23076923076923,batter,,,,,
A Symonds,Mumbai Indians,Delhi Capitals,4.0,4.0,100.0,batter,,,,,
A Symonds,Mumbai Indians,Other,19.0,18.0,105.55555555555556,batter,,,,,
A Symonds,Mumbai Indians,Punjab Kings,12.0,12.0,100.0,batter,,,,,
A Symonds,Mumbai Indians,Rajasthan Royals,17.0,26.0,65.38461538461539,batter,,,,,
A Symonds,Mumbai Indians,Sunrisers Hyderabad,52.0,52.0,100.0,batter,,,,,
A Symonds,Sunrisers Hyderabad,Chennai Super Kings,100.0,87.0,114.94252873563218,batter,,,,,
A Symonds,Sunrisers Hyderabad,Delhi Capitals,166.0,104.0,159.6153846153846,batter,,,,,
A Symonds,Sunrisers Hyderabad,Kolkata Knight Riders,100.0,98.0,102.04081632653062,batter,,,,,
A Symonds,Sunrisers Hyderabad,Mumbai Indians,22.0,24.0,91.66666666666666,batter,,,,,
A Symonds,Sunrisers Hyderabad,Punjab Kings,142.0,105.0,135.23809523809524,batter,,,,,
A Symonds,Sunrisers Hyderabad,Rajasthan Royals,184.0,106.0,173.58490566037736,batter,,,,,
A Symonds,Sunrisers Hyderabad,Royal Challengers Bengaluru,125.0,88.0,142.04545454545453,batter,,,,,
A Tomar,Kolkata Knight Riders,Lucknow Super Giants,4.0,8.0,50.0,batter,,,,,
A Uniyal,Rajasthan Royals,Delhi Capitals,4.0,6.0,66.66666666666666,batter,,,,,
A Uniyal,Rajasthan Royals,Mumbai Indians,0.0,1.0,0.0,batter,,,,,
A Zampa,Rajasthan Royals,Chennai Super Kings,1.0,1.0,100.0,batter,,,,,
A Zampa,Rajasthan Royals,Gujarat Titans,7.0,9.0,77.77777777777779,batter,,,,,
A Zampa,Rajasthan Royals,Royal Challengers Bengaluru,2.0,6.0,33.33333333333333,batter,,,,,
A Zampa,Rising Pune Supergiants,Delhi Capitals,5.0,7.0,71.42857142857143,batter,,,,,
A Zampa,Rising Pune Supergiants,Sunrisers Hyderabad,0.0,1.0,0.0,batter,,,,,
AA Bilakhia,Sunrisers Hyderabad,Chennai Super Kings,12.0,14.0,85.71428571428571,batter,,,,,
AA Bilakhia,Sunrisers Hyderabad,Delhi Capitals,32.0,47.0,68.08510638297872,batter,,,,,
AA Bilakhia,Sunrisers Hyderabad,Rajasthan Royals,3.0,9.0,33.33333333333333,batter,,,,,
AA Bilakhia,Sunrisers Hyderabad,Royal Challengers Bengaluru,22.0,15.0,146.66666666666666,batter,,,,,
AA Chavan,Rajasthan Royals,Delhi Capitals,7.0,6.0,116.66666666666667,batter,,,,,
AA Chavan,Rajasthan Royals,Mumbai Indians,4.0,2.0,200.0,batter,,,,,
AA Chavan,Rajasthan Royals,Other,1.0,3.0,33.33333333333333,batter,,,,,
AA Jhunjhunwala,Other,Mumbai Indians,10.0,15.0,66.66666666666666,batter,,,,,
AA Jhunjhunwala,Other,Punjab Kings,0.0,3.0,0.0,batter,,,,,
AA Jhunjhunwala,Rajasthan Royals,Chennai Super Kings,18.0,10.0,180.0,batter,,,,,
AA Jhunjhunwala,Rajasthan Royals,Delhi Capitals,55.0,50.0,110.00000000000001,batter,,,,,
AA Jhunjhunwala,Rajasthan Royals,Kolkata Knight Riders,45.0,36.0,125.0,batter,,,,,
AA Jhunjhunwala,Rajasthan Royals,Mumbai Indians,36.0,33.0,109.09090909090908,batter,,,,,
AA Jhunjhunwala,Rajasthan Royals,Royal Challengers Bengaluru,18.0,29.0,62.06896551724138,batter,,,,,
AA Jhunjhunwala,Rajasthan Royals,Sunrisers Hyderabad,11.0,8.0,137.5,batter,,,,,
AA Jhunjhunwala,Sunrisers Hyderabad,Chennai Super Kings,1.0,1.0,100.0,batter,,,,,
AA Jhunjhunwala,Sunrisers Hyderabad,Delhi Capitals,4.0,5.0,80.0,batter,,,,,
AA Jhunjhunwala,Sunrisers Hyderabad,Punjab Kings,19.0,20.0,95.0,batter,,,,,
AA Kulkarni,Lucknow Super Giants,Kolkata Knight Riders,9.0,7.0,128.57142857142858,batter,,,,,
AA Kulkarni,Lucknow Super Giants,Mumbai Indians,0.0,1.0,0.0,batter,,,,,
AA Noffke,Royal Challengers Bengaluru,Kolkata Knight Riders,9.0,10.0,90.0,batter,,,,,
AB Agarkar,Delhi Capitals,Chennai Super Kings,3.0,7.0,42.857142857142854,batter,,,,,
AB Agarkar,Delhi Capitals,Mumbai Indians,7.0,6.0,116.66666666666667,batter,,,,,
AB Agarkar,Delhi Capitals,Punjab Kings,9.0,9.0,100.0,batter,,,,,
AB Agarkar,Kolkata Knight Riders,Chennai Super Kings,20.0,14.0,142.85714285714286,batter,,,,,
AB Agarkar,Kolkata Knight Riders,Delhi Capitals,56.0,42.0,133.33333333333331,batter,,,,,
AB Agarkar,Kolkata Knight Riders,Mumbai Indians,17.0,20.0,85.0,batter,,,,,
AB Agarkar,Kolkata Knight Riders,Punjab Kings,1.0,2.0,50.0,batter,,,,,
AB Agarkar,Kolkata Knight Riders,Rajasthan Royals,39.0,33.0,118.18181818181819,batter,,,,,
AB Agarkar,Kolkata Knight Riders,Royal Challengers Bengaluru,12.0,13.0,92.3076923076923,batter,,,,,
AB Agarkar,Kolkata Knight Riders,Sunrisers Hyderabad,15.0,8.0,187.5,batter,,,,,
AB Barath,Punjab Kings,Delhi Capitals,2.0,5.0,40.0,batter,,,,,
AB Barath,Punjab Kings,Mumbai Indians,33.0,27.0,122.22222222222223,batter,,,,,
AB Barath,Punjab Kings,Sunrisers Hyderabad,7.0,10.0,70.0,batter,,,,,
AB Dinda,Delhi Capitals,Mumbai Indians,0.0,5.0,0.0,batter,,,,,
AB Dinda,Kolkata Knight Riders,Mumbai Indians,1.0,2.0,50.0,batter,,,,,
AB Dinda,Kolkata Knight Riders,Rajasthan Royals,1.0,3.0,33.33333333333333,batter,,,,,
AB Dinda,Kolkata Knight Riders,Royal Challengers Bengaluru,0.0,1.0,0.0,batter,,,,,
AB Dinda,Kolkata Knight Riders,Sunrisers Hyderabad,2.0,2.0,100.0,batter,,,,,
AB Dinda,Other,Chennai Super Kings,2.0,2.0,100.0,batter,,,,,
AB Dinda,Other,Punjab Kings,2.0,5.0,40.0,batter,,,,,
AB Dinda,Other,Royal Challengers Bengaluru,7.0,6.0,116.66666666666667,batter,,,,,
AB Dinda,Other,Sunrisers Hyderabad,0.0,3.0,0.0,batter,,,,,
AB Dinda,Rising Pune Supergiants,Delhi Capitals,7.0,7.0,100.0,batter,,,,,
AB Dinda,Royal Challengers Bengaluru,Mumbai Indians,2.0,4.0,50.0,batter,,,,,
AB Dinda,Royal Challengers Bengaluru,Punjab Kings,2.0,5.0,40.0,batter,,,,,
AB Dinda,Royal Challengers Bengaluru,Rajasthan Royals,0.0,3.0,0.0,batter,,,,,
AB McDonald,Delhi Capitals,Chennai Super Kings,8.0,7.0,114.28571428571428,batter,,,,,
AB McDonald,Delhi Capitals,Mumbai Indians,33.0,31.0,106.4516129032258,batter,,,,,
AB McDonald,Delhi Capitals,Rajasthan Royals,14.0,9.0,155.55555555555557,batter,,,,,
