bowler,season,runs_bowler,bowler_wicket,ball_no,overs,bowling_average,economy,strike_rate
A Ashish Reddy,2012,237,11,169,28.166666666666668,21.545454545454547,8.414201183431953,15.363636363636363
A Ashish Reddy,2013,70,3,41,6.833333333333333,23.333333333333332,10.24390243902439,13.666666666666666
A Ashish Reddy,2015,50,3,37,6.166666666666667,16.666666666666668,8.108108108108107,12.333333333333334
A Ashish Reddy,2016,39,1,23,3.8333333333333335,39.0,10.17391304347826,23.0
A Badoni,2022,11,2,12,2.0,5.5,5.5,6.0
A Badoni,2023,0,0,1,0.16666666666666666,0.0,0.0,1.0
A Badoni,2024,25,0,12,2.0,25.0,12.5,12.0
A Badoni,2025,13,2,10,1.6666666666666667,6.5,7.8,5.0
A Chandila,2012,86,5,84,14.0,17.2,6.142857142857143,16.8
A Chandila,2013,156,6,150,25.0,26.0,6.24,25.0
A Choudhary,2017,144,5,108,18.0,28.8,8.0,21.6
A Dananjaya,2018,47,0,25,4.166666666666667,47.0,11.28,25.0
A Flintoff,2009,105,2,66,11.0,52.5,9.545454545454545,33.0
A Kamboj,2024,114,2,68,11.333333333333334,57.0,10.058823529411764,34.0
A Kamboj,2025,172,8,130,21.666666666666668,21.5,7.938461538461538,16.25
A Kamboj,2026,189,10,119,19.833333333333332,18.9,9.529411764705882,11.9
A Kumble,2008,304,7,236,39.333333333333336,43.42857142857143,7.728813559322034,33.714285714285715
A Kumble,2009,347,21,358,59.666666666666664,16.523809523809526,5.815642458100559,17.047619047619047
A Kumble,2010,407,17,389,64.83333333333333,23.941176470588236,6.277634961439589,22.88235294117647
A Mishra,2008,138,11,123,20.5,12.545454545454545,6.7317073170731705,11.181818181818182
A Mishra,2009,294,14,262,43.666666666666664,21.0,6.732824427480916,18.714285714285715
A Mishra,2010,363,17,329,54.833333333333336,21.352941176470587,6.6200607902735555,19.352941176470587
A Mishra,2011,358,19,324,54.0,18.842105263157894,6.62962962962963,17.05263157894737
A Mishra,2012,377,13,289,48.166666666666664,29.0,7.826989619377163,22.23076923076923
A Mishra,2013,394,21,376,62.666666666666664,18.761904761904763,6.287234042553192,17.904761904761905
A Mishra,2014,340,7,230,38.333333333333336,48.57142857142857,8.869565217391305,32.857142857142854
A Mishra,2015,310,9,249,41.5,34.44444444444444,7.469879518072289,27.666666666666668
A Mishra,2016,344,13,284,47.333333333333336,26.46153846153846,7.267605633802816,21.846153846153847
A Mishra,2017,343,10,237,39.5,34.3,8.683544303797468,23.7
A Mishra,2018,264,12,226,37.666666666666664,22.0,7.008849557522124,18.833333333333332
A Mishra,2019,270,11,243,40.5,24.545454545454547,6.666666666666667,22.09090909090909
A Mishra,2021,181,9,145,24.166666666666668,20.11111111111111,7.4896551724137925,16.11111111111111
A Mishra,2023,149,7,115,19.166666666666668,21.285714285714285,7.77391304347826,16.428571428571427
A Mishra,2024,20,1,12,2.0,20.0,10.0,12.0
A Mithun,2009,42,0,27,4.5,42.0,9.333333333333334,27.0
A Mithun,2010,39,1,20,3.3333333333333335,39.0,11.7,20.0
A Mithun,2011,321,5,221,36.833333333333336,64.2,8.714932126696832,44.2
A Mithun,2012,33,0,19,3.1666666666666665,33.0,10.421052631578949,19.0
A Mithun,2013,37,1,25,4.166666666666667,37.0,8.879999999999999,25.0
A Nehra,2008,348,12,280,46.666666666666664,29.0,7.457142857142857,23.333333333333332
A Nehra,2009,346,19,326,54.333333333333336,18.210526315789473,6.368098159509202,17.157894736842106
A Nehra,2010,96,6,85,14.166666666666666,16.0,6.776470588235294,14.166666666666666
A Nehra,2012,402,11,291,48.5,36.54545454545455,8.288659793814434,26.454545454545453
A Nehra,2013,316,11,221,36.833333333333336,28.727272727272727,8.57918552036199,20.09090909090909
A Nehra,2014,142,8,93,15.5,17.75,9.161290322580646,11.625
A Nehra,2015,449,22,385,64.16666666666667,20.40909090909091,6.997402597402597,17.5
A Nehra,2016,199,9,161,26.833333333333332,22.11111111111111,7.416149068322982,17.88888888888889
A Nehra,2017,197,8,132,22.0,24.625,8.954545454545455,16.5
A Nel,2008,31,1,18,3.0,31.0,10.333333333333334,18.0
A Nortje,2021,699,34,563,93.83333333333333,20.558823529411764,7.449378330373002,16.558823529411764
A Nortje,2022,217,9,143,23.833333333333332,24.11111111111111,9.104895104895105,15.88888888888889
A Nortje,2023,364,10,251,41.833333333333336,36.4,8.701195219123505,25.1
A Nortje,2024,294,7,140,23.333333333333332,42.0,12.600000000000001,20.0
A Nortje,2025,83,1,45,7.5,83.0,11.066666666666666,45.0
A Nortje,2026,39,0,27,4.5,39.0,8.666666666666666,27.0
A Singh,2009,95,9,107,17.833333333333332,10.555555555555555,5.327102803738318,11.88888888888889
A Singh,2011,215,9,175,29.166666666666668,23.88888888888889,7.371428571428571,19.444444444444443
A Singh,2012,310,10,204,34.0,31.0,9.117647058823529,20.4
A Symonds,2008,101,0,44,7.333333333333333,101.0,13.772727272727273,44.0
A Symonds,2009,160,7,147,24.5,22.857142857142858,6.530612244897959,21.0
A Symonds,2010,372,12,325,54.166666666666664,31.0,6.867692307692308,27.083333333333332
A Symonds,2011,41,1,24,4.0,41.0,10.25,24.0
A Uniyal,2010,66,2,38,6.333333333333333,33.0,10.421052631578949,19.0
A Zampa,2016,115,12,103,17.166666666666668,9.583333333333334,6.699029126213592,8.583333333333334
A Zampa,2017,163,7,122,20.333333333333332,23.285714285714285,8.01639344262295,17.428571428571427
A Zampa,2021,92,2,67,11.166666666666666,46.0,8.238805970149254,33.5
A Zampa,2023,188,8,133,22.166666666666668,23.5,8.481203007518797,16.625
A Zampa,2025,94,2,50,8.333333333333334,47.0,11.28,25.0
AA Chavan,2011,27,0,30,5.0,27.0,5.4,30.0
AA Chavan,2012,236,7,169,28.166666666666668,33.714285714285715,8.378698224852071,24.142857142857142
AA Chavan,2013,63,1,56,9.333333333333334,63.0,6.75,56.0
AA Jhunjhunwala,2010,69,0,39,6.5,69.0,10.615384615384615,39.0
AA Jhunjhunwala,2011,22,0,13,2.1666666666666665,22.0,10.153846153846155,13.0
AA Jhunjhunwala,2012,38,1,36,6.0,38.0,6.333333333333333,36.0
AA Kazi,2011,21,0,13,2.1666666666666665,21.0,9.692307692307693,13.0
AA Noffke,2008,40,1,25,4.166666666666667,40.0,9.6,25.0
AB Agarkar,2008,207,8,168,28.0,25.875,7.392857142857143,21.0
AB Agarkar,2009,284,6,199,33.166666666666664,47.333333333333336,8.56281407035176,33.166666666666664
AB Agarkar,2010,203,4,136,22.666666666666668,50.75,8.955882352941176,34.0
AB Agarkar,2011,231,8,164,27.333333333333332,28.875,8.451219512195122,20.5
AB Agarkar,2012,134,3,90,15.0,44.666666666666664,8.933333333333334,30.0
AB Agarkar,2013,92,0,63,10.5,92.0,8.761904761904763,63.0
AB Dinda,2008,260,9,245,40.833333333333336,28.88888888888889,6.36734693877551,27.22222222222222
AB Dinda,2009,193,4,150,25.0,48.25,7.72,37.5
AB Dinda,2010,152,9,144,24.0,16.88888888888889,6.333333333333333,16.0
AB Dinda,2011,152,5,107,17.833333333333332,30.4,8.52336448598131,21.4
AB Dinda,2012,169,9,154,25.666666666666668,18.77777777777778,6.584415584415584,17.11111111111111
AB Dinda,2013,465,16,304,50.666666666666664,29.0625,9.177631578947368,19.0
AB Dinda,2014,270,5,195,32.5,54.0,8.307692307692308,39.0
AB Dinda,2015,62,0,33,5.5,62.0,11.272727272727273,33.0
AB Dinda,2016,231,11,192,32.0,21.0,7.21875,17.454545454545453
AB Dinda,2017,119,1,65,10.833333333333334,119.0,10.984615384615385,65.0
AB McDonald,2009,22,0,18,3.0,22.0,7.333333333333333,18.0
AB McDonald,2010,138,5,85,14.166666666666666,27.6,9.741176470588236,17.0
AB McDonald,2011,23,0,12,2.0,23.0,11.5,12.0
AB McDonald,2012,61,5,61,10.166666666666666,12.2,6.0,12.2
AB McDonald,2013,17,1,12,2.0,17.0,8.5,12.0
AC Gilchrist,2013,0,1,1,0.16666666666666666,0.0,0.0,1.0
AC Thomas,2011,297,11,240,40.0,27.0,7.425,21.818181818181817
AC Thomas,2012,109,3,87,14.5,36.333333333333336,7.517241379310345,29.0
AC Voges,2010,76,0,56,9.333333333333334,76.0,8.142857142857142,56.0
AD Mascarenhas,2008,29,2,25,4.166666666666667,14.5,6.959999999999999,12.5
AD Mascarenhas,2009,132,6,116,19.333333333333332,22.0,6.8275862068965525,19.333333333333332
AD Mascarenhas,2010,65,4,48,8.0,16.25,8.125,12.0
AD Mascarenhas,2012,105,7,97,16.166666666666668,15.0,6.494845360824741,13.857142857142858
AD Mascarenhas,2013,25,0,24,4.0,25.0,6.25,24.0
AD Mathews,2009,31,0,15,2.5,31.0,12.4,15.0
AD Mathews,2010,314,8,230,38.333333333333336,39.25,8.191304347826087,28.75
AD Mathews,2012,192,7,158,26.333333333333332,27.428571428571427,7.29113924050633,22.571428571428573
AD Mathews,2013,240,5,188,31.333333333333332,48.0,7.659574468085107,37.6
AD Mathews,2015,246,7,185,30.833333333333332,35.142857142857146,7.978378378378379,26.428571428571427
AD Mathews,2017,56,0,31,5.166666666666667,56.0,10.838709677419354,31.0
AD Russell,2012,161,1,98,16.333333333333332,161.0,9.857142857142858,98.0
AD Russell,2013,68,0,44,7.333333333333333,68.0,9.272727272727273,44.0
AD Russell,2014,52,1,31,5.166666666666667,52.0,10.064516129032258,31.0
AD Russell,2015,324,14,254,42.333333333333336,23.142857142857142,7.653543307086614,18.142857142857142
AD Russell,2016,291,15,224,37.333333333333336,19.4,7.794642857142857,14.933333333333334
AD Russell,2018,355,13,239,39.833333333333336,27.307692307692307,8.912133891213388,18.384615384615383
AD Russell,2019,287,11,182,30.333333333333332,26.09090909090909,9.461538461538462,16.545454545454547
AD Russell,2021,363,17,236,39.333333333333336,21.352941176470587,9.228813559322033,13.882352941176471
AD Russell,2022,278,17,176,29.333333333333332,16.352941176470587,9.477272727272728,10.352941176470589
AD Russell,2023,172,7,99,16.5,24.571428571428573,10.424242424242424,14.142857142857142
AD Russell,2024,295,19,188,31.333333333333332,15.526315789473685,9.414893617021278,9.894736842105264
AD Russell,2025,217,8,114,19.0,27.125,11.421052631578947,14.25
AF Milne,2016,43,1,25,4.166666666666667,43.0,10.319999999999999,25.0
AF Milne,2017,134,3,90,15.0,44.666666666666664,8.933333333333334,30.0
AF Milne,2021,131,3,87,14.5,43.666666666666664,9.03448275862069,29.0
AF Milne,2022,19,0,15,2.5,19.0,7.6,15.0
AG Murtaza,2010,91,3,73,12.166666666666666,30.333333333333332,7.479452054794521,24.333333333333332
AG Murtaza,2011,117,3,122,20.333333333333332,39.0,5.754098360655738,40.666666666666664
AG Murtaza,2012,11,0,12,2.0,11.0,5.5,12.0
AG Murtaza,2013,94,3,62,10.333333333333334,31.333333333333332,9.096774193548386,20.666666666666668
AJ Finch,2010,5,0,7,1.1666666666666667,5.0,4.285714285714286,7.0
AJ Finch,2011,13,0,13,2.1666666666666665,13.0,6.0,13.0
AJ Finch,2013,49,1,24,4.0,49.0,12.25,24.0
AJ Hosein,2023,40,1,24,4.0,40.0,10.0,24.0
AJ Hosein,2026,46,1,38,6.333333333333333,46.0,7.2631578947368425,38.0
AJ Tye,2017,141,12,128,21.333333333333332,11.75,6.609375,10.666666666666666
AJ Tye,2018,448,24,353,58.833333333333336,18.666666666666668,7.614730878186968,14.708333333333334
AJ Tye,2019,233,3,137,22.833333333333332,77.66666666666667,10.204379562043796,45.666666666666664
AJ Tye,2021,50,1,27,4.5,50.0,11.11111111111111,27.0
AJ Tye,2022,107,2,69,11.5,53.5,9.304347826086957,34.5
AK Markram,2021,23,0,25,4.166666666666667,23.0,5.52,25.0
AK Markram,2022,64,1,36,6.0,64.0,10.666666666666666,36.0
AK Markram,2023,70,1,49,8.166666666666666,70.0,8.571428571428571,49.0
AK Markram,2024,15,0,13,2.1666666666666665,15.0,6.923076923076923,13.0
AK Markram,2025,102,4,68,11.333333333333334,25.5,9.0,17.0
AK Markram,2026,28,0,16,2.6666666666666665,28.0,10.5,16.0
AL Menaria,2011,121,2,93,15.5,60.5,7.806451612903226,46.5
AL Menaria,2012,23,1,20,3.3333333333333335,23.0,6.8999999999999995,20.0
AM Ghazanfar,2026,103,4,62,10.333333333333334,25.75,9.96774193548387,15.5
AM Nayar,2008,68,1,43,7.166666666666667,68.0,9.488372093023255,43.0
AM Nayar,2009,84,4,77,12.833333333333334,21.0,6.545454545454545,19.25
AM Nayar,2011,95,2,63,10.5,47.5,9.047619047619047,31.5
AM Nayar,2012,16,0,6,1.0,16.0,16.0,6.0
AM Nayar,2013,59,2,50,8.333333333333334,29.5,7.079999999999999,25.0
AM Rahane,2009,5,1,6,1.0,5.0,5.0,6.0
AM Salvi,2009,134,4,106,17.666666666666668,33.5,7.584905660377358,26.5
AM Salvi,2011,66,3,50,8.333333333333334,22.0,7.919999999999999,16.666666666666668
AN Ahmed,2010,26,0,14,2.3333333333333335,26.0,11.142857142857142,14.0
AN Ahmed,2011,169,5,128,21.333333333333332,33.8,7.921875,25.6
AN Ahmed,2012,17,0,13,2.1666666666666665,17.0,7.846153846153847,13.0
AN Ahmed,2013,45,3,42,7.0,15.0,6.428571428571429,14.0
AN Ahmed,2014,113,3,89,14.833333333333334,37.666666666666664,7.617977528089887,29.666666666666668
AN Ahmed,2015,128,1,76,12.666666666666666,128.0,10.105263157894738,76.0
AP Dole,2010,112,5,73,12.166666666666666,22.4,9.205479452054796,14.6
AR Patel,2014,405,17,403,67.16666666666667,23.823529411764707,6.029776674937965,23.705882352941178
AR Patel,2015,392,13,289,48.166666666666664,30.153846153846153,8.13840830449827,22.23076923076923
AR Patel,2016,388,13,294,49.0,29.846153846153847,7.918367346938775,22.615384615384617
AR Patel,2017,362,15,294,49.0,24.133333333333333,7.387755102040816,19.6
AR Patel,2018,218,3,158,26.333333333333332,72.66666666666667,8.278481012658228,52.666666666666664
AR Patel,2019,364,10,307,51.166666666666664,36.4,7.114006514657981,30.7
AR Patel,2021,639,24,593,98.83333333333333,26.625,6.465430016863407,24.708333333333332
AR Patel,2022,321,6,261,43.5,53.5,7.379310344827586,43.5
AR Patel,2023,338,11,288,48.0,30.727272727272727,7.041666666666667,26.181818181818183
AR Patel,2024,337,11,265,44.166666666666664,30.636363636363637,7.6301886792452835,24.09090909090909
AR Patel,2025,313,5,219,36.5,62.6,8.575342465753424,43.8
AR Patel,2026,110,3,86,14.333333333333334,36.666666666666664,7.674418604651162,28.666666666666668
AS Joseph,2019,87,6,55,9.166666666666666,14.5,9.490909090909092,9.166666666666666
AS Joseph,2022,264,7,185,30.833333333333332,37.714285714285715,8.562162162162162,26.428571428571427
AS Joseph,2023,225,7,150,25.0,32.142857142857146,9.0,21.428571428571427
AS Joseph,2024,115,1,64,10.666666666666666,115.0,10.78125,64.0
AS Rajpoot,2013,35,1,25,4.166666666666667,35.0,8.399999999999999,25.0
AS Rajpoot,2016,98,3,72,12.0,32.666666666666664,8.166666666666666,24.0
AS Rajpoot,2017,107,4,87,14.5,26.75,7.379310344827586,21.75
AS Rajpoot,2018,223,11,166,27.666666666666668,20.272727272727273,8.06024096385542,15.090909090909092
AS Rajpoot,2019,152,3,102,17.0,50.666666666666664,8.941176470588236,34.0
AS Rajpoot,2021,199,2,115,19.166666666666668,99.5,10.382608695652173,57.5
AS Raut,2009,36,0,24,4.0,36.0,9.0,24.0
AS Raut,2011,8,0,6,1.0,8.0,8.0,6.0
AS Roy,2019,11,1,15,2.5,11.0,4.4,15.0
AS Roy,2022,55,1,42,7.0,55.0,7.857142857142857,42.0
AS Roy,2023,65,3,51,8.5,21.666666666666668,7.647058823529412,17.0
AS Roy,2024,60,0,34,5.666666666666667,60.0,10.588235294117647,34.0
AS Roy,2025,27,1,25,4.166666666666667,27.0,6.4799999999999995,25.0
AS Roy,2026,84,4,72,12.0,21.0,7.0,18.0
