batter,bowler,runs,balls,dismissals,strike_rate,average
A Ashish Reddy,A Nehra,7,8,9,87.5,0.7777777777777778
A Ashish Reddy,AB Dinda,9,7,7,128.57142857142858,1.2857142857142858
A Ashish Reddy,AD Mathews,25,12,12,208.33333333333334,2.0833333333333335
A Ashish Reddy,AD Russell,4,3,3,133.33333333333331,1.3333333333333333
A Ashish Reddy,Anureet Singh,2,2,2,100.0,1.0
A Ashish Reddy,Azhar Mahmood,2,3,3,66.66666666666666,0.6666666666666666
A Ashish Reddy,B Kumar,1,1,1,100.0,1.0
A Ashish Reddy,BW Hilfenhaus,2,2,2,100.0,1.0
A Ashish Reddy,CH Morris,11,5,5,220.00000000000003,2.2
A Ashish Reddy,DJ Bravo,24,13,13,184.6153846153846,1.8461538461538463
A Ashish Reddy,Harbhajan Singh,11,8,8,137.5,1.375
A Ashish Reddy,Imran Tahir,2,2,2,100.0,1.0
A Ashish Reddy,J Botha,0,2,2,0.0,0.0
A Ashish Reddy,JEC Franklin,3,3,3,100.0,1.0
A Ashish Reddy,JP Duminy,1,1,1,100.0,1.0
A Ashish Reddy,JP Faulkner,2,2,2,100.0,1.0
A Ashish Reddy,KA Pollard,3,3,3,100.0,1.0
A Ashish Reddy,KK Cooper,8,5,5,160.0,1.6
A Ashish Reddy,M Kartik,6,8,8,75.0,0.75
A Ashish Reddy,M Morkel,5,5,5,100.0,1.0
A Ashish Reddy,MG Johnson,7,3,3,233.33333333333334,2.3333333333333335
A Ashish Reddy,MM Patel,0,2,2,0.0,0.0
A Ashish Reddy,MM Sharma,7,2,2,350.0,3.5
A Ashish Reddy,MR Marsh,3,3,3,100.0,1.0
A Ashish Reddy,MS Gony,5,4,4,125.0,1.25
A Ashish Reddy,NM Coulter-Nile,0,1,1,0.0,0.0
A Ashish Reddy,P Awana,0,2,2,0.0,0.0
A Ashish Reddy,P Kumar,6,4,4,150.0,1.5
A Ashish Reddy,PP Chawla,2,2,2,100.0,1.0
A Ashish Reddy,PV Tambe,3,4,4,75.0,0.75
A Ashish Reddy,Parvez Rasool,18,9,9,200.0,2.0
A Ashish Reddy,R Vinay Kumar,14,10,11,140.0,1.2727272727272727
A Ashish Reddy,RJ Peterson,7,5,5,140.0,1.4
A Ashish Reddy,RP Singh,1,2,2,50.0,0.5
A Ashish Reddy,SL Malinga,3,4,4,75.0,0.75
A Ashish Reddy,SMSM Senanayake,3,4,4,75.0,0.75
A Ashish Reddy,SP Narine,1,1,1,100.0,1.0
A Ashish Reddy,SR Watson,3,5,5,60.0,0.6
A Ashish Reddy,STR Binny,4,4,4,100.0,1.0
A Ashish Reddy,SW Tait,10,4,4,250.0,2.5
A Ashish Reddy,Sandeep Sharma,13,3,3,433.3333333333333,4.333333333333333
A Ashish Reddy,TG Southee,9,4,4,225.0,2.25
A Ashish Reddy,UT Yadav,20,9,10,222.22222222222223,2.0
A Ashish Reddy,YS Chahal,13,7,7,185.71428571428572,1.8571428571428572
A Badoni,A Zampa,2,3,3,66.66666666666666,0.6666666666666666
A Badoni,AD Russell,22,13,15,169.23076923076923,1.4666666666666666
A Badoni,AR Patel,11,11,11,100.0,1.0
A Badoni,AS Joseph,5,4,4,125.0,1.25
A Badoni,AS Roy,11,7,8,157.14285714285714,1.375
A Badoni,Akash Madhwal,0,4,4,0.0,0.0
A Badoni,Arshdeep Singh,13,12,14,108.33333333333333,0.9285714285714286
A Badoni,Ashok Sharma,5,2,2,250.0,2.5
A Badoni,Ashwani Kumar,4,2,2,200.0,2.0
A Badoni,Avesh Khan,2,2,2,100.0,1.0
A Badoni,Azmatullah Omarzai,21,12,14,175.0,1.5
A Badoni,B Kumar,4,4,4,100.0,1.0
A Badoni,C Bosch,6,6,6,100.0,1.0
A Badoni,C Green,2,2,2,100.0,1.0
A Badoni,C Sakariya,13,4,5,325.0,2.6
A Badoni,CV Varun,18,16,16,112.5,1.125
A Badoni,DG Nalkande,2,1,1,200.0,2.0
A Badoni,DJ Bravo,5,4,5,125.0,1.0
A Badoni,DJ Willey,6,4,5,150.0,1.2
A Badoni,DL Chahar,27,10,10,270.0,2.7
A Badoni,E Malinga,0,2,2,0.0,0.0
A Badoni,G Coetzee,5,5,5,100.0,1.0
A Badoni,GJ Maxwell,5,6,6,83.33333333333334,0.8333333333333334
A Badoni,Gurnoor Brar,11,4,5,275.0,2.2
A Badoni,HH Pandya,20,14,15,142.85714285714286,1.3333333333333333
A Badoni,HV Patel,11,9,9,122.22222222222223,1.2222222222222223
A Badoni,Harpreet Brar,2,3,3,66.66666666666666,0.6666666666666666
A Badoni,Harsh Dubey,0,1,1,0.0,0.0
A Badoni,Harshit Rana,7,7,7,100.0,1.0
A Badoni,I Sharma,10,9,11,111.11111111111111,0.9090909090909091
A Badoni,J Overton,13,5,5,260.0,2.6
A Badoni,JD Unadkat,4,6,6,66.66666666666666,0.6666666666666666
A Badoni,JJ Bumrah,3,5,5,60.0,0.6
A Badoni,JO Holder,0,1,1,0.0,0.0
A Badoni,JR Hazlewood,7,11,11,63.63636363636363,0.6363636363636364
A Badoni,K Rabada,8,8,8,100.0,1.0
A Badoni,KH Pandya,12,8,8,150.0,1.5
A Badoni,KK Ahmed,12,5,6,240.0,2.0
A Badoni,KR Sen,2,2,2,100.0,1.0
A Badoni,KV Sharma,28,12,12,233.33333333333334,2.3333333333333335
A Badoni,Kartik Tyagi,11,6,6,183.33333333333331,1.8333333333333333
A Badoni,Kuldeep Yadav,13,14,14,92.85714285714286,0.9285714285714286
A Badoni,LH Ferguson,23,14,15,164.28571428571428,1.5333333333333334
A Badoni,LS Livingstone,6,2,2,300.0,3.0
A Badoni,M Jansen,16,13,14,123.07692307692308,1.1428571428571428
A Badoni,M Pathirana,10,11,14,90.9090909090909,0.7142857142857143
A Badoni,M Prasidh Krishna,3,8,9,37.5,0.3333333333333333
A Badoni,M Theekshana,35,18,18,194.44444444444443,1.9444444444444444
A Badoni,MA Starc,7,6,6,116.66666666666667,1.1666666666666667
A Badoni,MJ Santner,15,8,8,187.5,1.875
A Badoni,MM Ali,6,7,8,85.71428571428571,0.75
A Badoni,MM Sharma,23,12,13,191.66666666666669,1.7692307692307692
A Badoni,MP Stoinis,4,7,8,57.14285714285714,0.5
A Badoni,Mohammed Shami,16,11,11,145.45454545454547,1.4545454545454546
A Badoni,Mohammed Siraj,21,21,24,100.0,0.875
A Badoni,Mukesh Choudhary,7,3,5,233.33333333333334,1.4
A Badoni,Mukesh Kumar,43,24,25,179.16666666666669,1.72
A Badoni,N Burger,0,1,1,0.0,0.0
A Badoni,N Thushara,4,3,3,133.33333333333331,1.3333333333333333
A Badoni,Navdeep Saini,15,6,6,250.0,2.5
A Badoni,Noor Ahmad,7,6,6,116.66666666666667,1.1666666666666667
A Badoni,PJ Cummins,10,7,7,142.85714285714286,1.4285714285714286
A Badoni,PP Chawla,2,4,4,50.0,0.5
A Badoni,PVD Chameera,8,4,4,200.0,2.0
A Badoni,PWH de Silva,14,13,13,107.6923076923077,1.0769230769230769
A Badoni,R Ashwin,11,8,9,137.5,1.2222222222222223
A Badoni,R Sai Kishore,11,4,4,275.0,2.75
A Badoni,R Shepherd,29,14,15,207.14285714285717,1.9333333333333333
A Badoni,RA Jadeja,9,10,10,90.0,0.9
A Badoni,RD Chahar,12,9,9,133.33333333333331,1.3333333333333333
A Badoni,RJW Topley,0,2,2,0.0,0.0
A Badoni,RP Meredith,9,4,4,225.0,2.25
A Badoni,RS Hangargekar,5,3,3,166.66666666666669,1.6666666666666667
A Badoni,Rashid Khan,31,30,31,103.33333333333334,1.0
A Badoni,Rasikh Salam,5,3,3,166.66666666666669,1.6666666666666667
A Badoni,S Dube,7,2,4,350.0,1.75
A Badoni,SH Johnson,5,2,3,250.0,1.6666666666666667
A Badoni,SM Curran,18,14,15,128.57142857142858,1.2
A Badoni,SN Thakur,10,3,3,333.33333333333337,3.3333333333333335
A Badoni,SP Narine,38,40,41,95.0,0.926829268292683
A Badoni,Sandeep Sharma,21,12,12,175.0,1.75
A Badoni,Shivam Mavi,1,1,1,100.0,1.0
A Badoni,Shivang Kumar,6,5,5,120.0,1.2
A Badoni,Simarjeet Singh,4,2,2,200.0,2.0
A Badoni,Suyash Sharma,18,12,12,150.0,1.5
A Badoni,T Natarajan,38,20,22,190.0,1.7272727272727273
A Badoni,T Stubbs,2,3,3,66.66666666666666,0.6666666666666666
A Badoni,TA Boult,7,13,14,53.84615384615385,0.5
A Badoni,TG Southee,3,6,6,50.0,0.5
A Badoni,TU Deshpande,23,19,22,121.05263157894737,1.0454545454545454
A Badoni,V Puthur,5,4,4,125.0,1.25
A Badoni,V Viyaskanth,5,2,2,250.0,2.5
A Badoni,VG Arora,9,5,5,180.0,1.8
A Badoni,VR Aaron,2,3,3,66.66666666666666,0.6666666666666666
A Badoni,Vijaykumar Vyshak,38,13,13,292.30769230769226,2.923076923076923
A Badoni,WD Parnell,7,5,7,140.0,1.0
A Badoni,WG Jacks,3,3,3,100.0,1.0
A Badoni,Washington Sundar,9,7,7,128.57142857142858,1.2857142857142858
A Badoni,YS Chahal,17,17,18,100.0,0.9444444444444444
A Badoni,Yash Dayal,0,1,1,0.0,0.0
A Chandila,R Rampaul,1,2,2,50.0,0.5
A Chandila,R Vinay Kumar,1,2,2,50.0,0.5
A Chandila,RP Singh,2,2,2,100.0,1.0
A Chandila,V Pratap Singh,0,1,1,0.0,0.0
