batter,bowling_team,runs,balls,dismissals,fours,sixes,strike_rate,average
A Ashish Reddy,Chennai Super Kings,45,25,25,3,3,180.0,1.8
A Ashish Reddy,Delhi Capitals,36,23,24,4,1,156.52173913043478,1.5
A Ashish Reddy,Kolkata Knight Riders,17,13,14,0,1,130.76923076923077,1.2142857142857142
A Ashish Reddy,Mumbai Indians,27,25,25,0,2,108.0,1.08
A Ashish Reddy,Other,26,19,19,1,1,136.8421052631579,1.368421052631579
A Ashish Reddy,Punjab Kings,37,23,23,3,2,160.8695652173913,1.608695652173913
A Ashish Reddy,Rajasthan Royals,37,24,24,3,1,154.16666666666669,1.5416666666666667
A Ashish Reddy,Royal Challengers Bengaluru,55,41,42,2,4,134.14634146341464,1.3095238095238095
A Badoni,Chennai Super Kings,123,77,86,3,8,159.74025974025975,1.430232558139535
A Badoni,Delhi Capitals,129,83,88,13,4,155.42168674698794,1.4659090909090908
A Badoni,Gujarat Titans,148,111,117,12,6,133.33333333333331,1.264957264957265
A Badoni,Kolkata Knight Riders,138,112,116,11,5,123.21428571428572,1.1896551724137931
A Badoni,Mumbai Indians,108,75,76,8,5,144.0,1.4210526315789473
A Badoni,Punjab Kings,175,117,126,9,11,149.57264957264957,1.3888888888888888
A Badoni,Rajasthan Royals,75,64,69,6,1,117.1875,1.0869565217391304
A Badoni,Royal Challengers Bengaluru,85,75,80,10,1,113.33333333333333,1.0625
A Badoni,Sunrisers Hyderabad,95,62,65,14,0,153.2258064516129,1.4615384615384615
A Chandila,Royal Challengers Bengaluru,4,6,6,0,0,66.66666666666666,0.6666666666666666
A Chandila,Sunrisers Hyderabad,0,1,1,0,0,0.0,0.0
A Chopra,Delhi Capitals,13,17,18,2,0,76.47058823529412,0.7222222222222222
A Chopra,Mumbai Indians,1,4,4,0,0,25.0,0.25
A Chopra,Punjab Kings,2,3,3,0,0,66.66666666666666,0.6666666666666666
A Chopra,Royal Challengers Bengaluru,2,5,5,0,0,40.0,0.4
A Chopra,Sunrisers Hyderabad,35,42,45,5,0,83.33333333333334,0.7777777777777778
A Choudhary,Other,15,12,12,1,0,125.0,1.25
A Choudhary,Punjab Kings,4,6,6,0,0,66.66666666666666,0.6666666666666666
A Choudhary,Sunrisers Hyderabad,6,2,2,0,1,300.0,3.0
A Dananjaya,Delhi Capitals,4,5,5,0,0,80.0,0.8
A Flintoff,Delhi Capitals,16,17,18,1,0,94.11764705882352,0.8888888888888888
A Flintoff,Mumbai Indians,24,23,25,2,1,104.34782608695652,0.96
A Flintoff,Royal Challengers Bengaluru,22,13,14,2,1,169.23076923076923,1.5714285714285714
A Kamboj,Kolkata Knight Riders,9,6,7,1,0,150.0,1.2857142857142858
A Kamboj,Punjab Kings,0,1,1,0,0,0.0,0.0
A Kamboj,Rajasthan Royals,12,13,13,2,0,92.3076923076923,0.9230769230769231
A Kamboj,Royal Challengers Bengaluru,19,12,13,1,1,158.33333333333331,1.4615384615384615
A Kamboj,Sunrisers Hyderabad,2,4,4,0,0,50.0,0.5
A Kumble,Chennai Super Kings,3,6,6,0,0,50.0,0.5
A Kumble,Delhi Capitals,2,2,2,0,0,100.0,1.0
A Kumble,Mumbai Indians,9,11,12,1,0,81.81818181818183,0.75
A Kumble,Punjab Kings,9,14,15,1,0,64.28571428571429,0.6
A Kumble,Rajasthan Royals,8,8,8,1,0,100.0,1.0
A Kumble,Sunrisers Hyderabad,4,6,6,0,0,66.66666666666666,0.6666666666666666
A Manohar,Chennai Super Kings,12,12,12,2,0,100.0,1.0
A Manohar,Delhi Capitals,39,55,58,1,1,70.9090909090909,0.6724137931034483
A Manohar,Kolkata Knight Riders,16,12,13,3,0,133.33333333333331,1.2307692307692308
A Manohar,Lucknow Super Giants,20,18,18,3,0,111.11111111111111,1.1111111111111112
A Manohar,Mumbai Indians,87,61,61,5,6,142.62295081967213,1.4262295081967213
