team,season,matches,wins,losses,win_pct,toss_wins,toss_win_match_win_pct,bat,field,chasing_wins,defending_wins,runs_scored,runs_conceded,balls_faced,balls_bowled,overs_faced,overs_bowled,run_rate,economy_rate,nrr
Chennai Super Kings,2008,32,18.0,14.0,56.25,10.0,60.0,8.0,2.0,2.0,4.0,2520,2568,1874,1908,312.3333333333333,318.0,8.068303094983992,8.075471698113208,-0.007168603129215967
Chennai Super Kings,2009,28,16.0,12.0,57.14285714285714,14.0,57.14285714285714,12.0,2.0,0.0,8.0,2231,2004,1709,1626,284.8333333333333,271.0,7.832650672908134,7.394833948339484,0.4378167245686502
Chennai Super Kings,2010,32,18.0,14.0,56.25,20.0,60.0,14.0,6.0,2.0,10.0,2604,2517,1951,1974,325.1666666666667,329.0,8.008200922603793,7.650455927051672,0.357744995552121
Chennai Super Kings,2011,32,22.0,10.0,68.75,18.0,77.77777777777779,14.0,4.0,2.0,12.0,2560,2300,1947,1874,324.5,312.3333333333333,7.889060092449923,7.36392742796158,0.5251326644883427
Chennai Super Kings,2012,36,20.0,16.0,55.55555555555556,14.0,57.14285714285714,8.0,6.0,6.0,2.0,2831,2621,2183,2112,363.8333333333333,352.0,7.781035272560697,7.4460227272727275,0.3350125452879693
Chennai Super Kings,2013,36,24.0,12.0,66.66666666666666,16.0,87.5,10.0,6.0,4.0,10.0,2778,2602,2098,2110,349.6666666666667,351.6666666666667,7.944709246901811,7.399052132701422,0.545657114200389
Chennai Super Kings,2014,32,20.0,12.0,62.5,20.0,60.0,8.0,12.0,8.0,4.0,2650,2577,1923,1902,320.5,317.0,8.268330733229329,8.129337539432177,0.1389931937971518
Chennai Super Kings,2015,34,20.0,14.0,58.82352941176471,20.0,50.0,14.0,6.0,2.0,8.0,2725,2601,2069,2056,344.8333333333333,342.6666666666667,7.90236829386177,7.590466926070039,0.31190136779173105
Chennai Super Kings,2018,32,22.0,10.0,68.75,22.0,72.72727272727273,2.0,20.0,16.0,0.0,2809,2750,1957,1971,326.1666666666667,328.5,8.612161471640265,8.37138508371385,0.24077638792641487
Chennai Super Kings,2019,34,20.0,14.0,58.82352941176471,24.0,58.333333333333336,6.0,18.0,12.0,2.0,2473,2440,2050,2015,341.6666666666667,335.8333333333333,7.238048780487804,7.265508684863524,-0.027459904375719546
Chennai Super Kings,2021,60,34.0,26.0,56.666666666666664,28.0,71.42857142857143,10.0,18.0,14.0,6.0,4924,4830,3648,3621,608.0,603.5,8.098684210526315,8.003314001657001,0.0953702088693138
Chennai Super Kings,2022,28,8.0,20.0,28.57142857142857,12.0,16.666666666666664,4.0,8.0,2.0,0.0,2288,2254,1719,1682,286.5,280.3333333333333,7.986038394415358,8.040428061831154,-0.054389667415795984
Chennai Super Kings,2023,31,20.0,11.0,64.51612903225806,19.0,63.1578947368421,8.0,11.0,8.0,4.0,2712,2728,1804,1999,300.6666666666667,333.1666666666667,9.019955654101995,8.188094047023512,0.8318616070784834
Chennai Super Kings,2024,28,14.0,14.0,50.0,6.0,33.33333333333333,0.0,6.0,2.0,0.0,2524,2415,1719,1726,286.5,287.6666666666667,8.809773123909249,8.39513325608343,0.4146398678258194
Chennai Super Kings,2025,28,8.0,20.0,28.57142857142857,12.0,50.0,2.0,10.0,4.0,2.0,2441,2461,1744,1635,290.6666666666667,272.5,8.397935779816514,9.03119266055046,-0.6332568807339456
Chennai Super Kings,2026,10,4.0,6.0,40.0,2.0,0.0,0.0,2.0,0.0,0.0,947,937,632,572,105.33333333333333,95.33333333333333,8.990506329113925,9.828671328671328,-0.838164999557403
Delhi Capitals,2008,28,14.0,14.0,50.0,0.0,,,,,,2118,2223,1547,1660,257.8333333333333,276.6666666666667,8.214608920491274,8.034939759036144,0.17966916145513068
