venue,match_id,runs_total,average_score_by_venue,highest_totals
ACA-VDCA Stadium,17,5295,311.47058823529414,272
Arun Jaitley Stadium,99,32544,328.72727272727275,278
Barabati Stadium,7,2278,325.42857142857144,231
Barsapara Cricket Stadium,8,2612,326.5,202
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,24,7959,331.625,235
Brabourne Stadium,27,9305,344.6296296296296,217
Buffalo Park,3,799,266.3333333333333,178
De Beers Diamond Oval,3,897,299.0,169
Dr DY Patil Sports Academy,37,11383,307.64864864864865,216
Dubai International Cricket Stadium,46,14450,314.1304347826087,219
Eden Gardens,103,32999,320.378640776699,262
Green Park,4,1298,324.5,197
Himachal Pradesh Cricket Association Stadium,15,4969,331.26666666666665,241
Holkar Cricket Stadium,9,2872,319.1111111111111,245
JSCA International Stadium Complex,7,2056,293.7142857142857,189
Kingsmead,15,4353,290.2,211
M Chinnaswamy Stadium,102,33555,328.97058823529414,287
MA Chidambaram Stadium,94,29777,316.77659574468083,246
Maharaja Yadavindra Singh International Cricket Stadium,13,4389,337.61538461538464,228
Maharashtra Cricket Association Stadium,51,15643,306.72549019607845,211
Narendra Modi Stadium,46,15953,346.80434782608694,243
Nehru Stadium,5,1363,272.6,162
New Wanderers Stadium,8,2292,286.5,166
Newlands,7,1797,256.7142857142857,184
OUTsurance Oval,2,529,264.5,150
PCA IS Bindra Stadium,61,19864,325.6393442622951,257
Rajiv Gandhi International Stadium,85,27083,318.6235294117647,286
Saurashtra Cricket Association Stadium,10,3333,333.3,213
Sawai Mansingh Stadium,64,20359,318.109375,219
Shaheed Veer Narayan Singh International Stadium,6,1741,290.1666666666667,164
Sharjah Cricket Stadium,28,8583,306.5357142857143,228
Sheikh Zayed Stadium,37,11332,306.27027027027026,235
St George's Park,7,2033,290.42857142857144,187
SuperSport Park,12,3653,304.4166666666667,189
Vidarbha Cricket Association Stadium,3,882,294.0,159
Wankhede Stadium,128,42620,332.96875,240
